NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Troy Brown Jr.,Chi,G-F,22.46,26,14.3,29.7,13.4,6.2,16,0.75,56,0.5,43,0.302,0.48,0.505,4.1,2.7,10.3,1.1,10.4,0.5,0.08,0.27,6.4,111.4,106.1
,Bruce Brown,Bro,G-F,25.41,30,22.5,46.9,13.8,9.7,24,0.75,154,0.519,30,0.333,0.516,0.535,6.9,4.5,10.6,1.3,7.8,1.23,0.5,0.7,6.1,111.2,98
,Jaylen Brown,Bos,G-F,25.21,27,34.8,72.4,30.9,12.6,133,0.767,315,0.517,204,0.368,0.531,0.565,24.2,6.6,10.2,3,15.9,1.11,0.52,3.07,9,104.7,102.4
,Moses Brown,Dal,C,22.25,24,6.8,14.1,22.4,17.3,43,0.628,48,0.563,0,0,0.563,0.605,3.4,2.4,19.2,0,0,0.13,0.33,0.58,0,107.4,88.8
,Sterling Brown,Dal,G-F,26.92,32,15,31.3,13.3,14,10,0.9,44,0.5,74,0.351,0.517,0.535,4.1,3.7,13.4,0.9,8.5,0.38,0.16,0.63,6.4,105.3,100.7
,Jalen Brunson,Dal,G,25.36,39,30.7,64,22.9,10.6,109,0.771,379,0.551,122,0.336,0.54,0.569,16,3.7,6.5,5.6,30.2,0.85,0.05,1.67,9,116.4,105.4
,Shaq Buchanan,Mem,G,20,2,4.9,10.2,25.5,33.3,0,0,2,0.5,2,0,0.25,0.25,1,1,10.8,1,26.4,0.5,0,1,8.2,60.4,99.1
,Reggie Bullock,Dal,G-F,30.83,33,24.3,50.6,12.8,7.9,17,0.765,52,0.558,151,0.318,0.498,0.511,6.5,2.9,6.5,1.1,6.5,0.42,0.15,0.55,4.5,101.4,106.2
,Trey Burke,Dal,G,29.16,19,13.6,28.3,26.3,10.6,17,0.941,79,0.494,49,0.327,0.492,0.524,7.5,1.2,4.7,2.1,26,0.42,0,0.84,7.8,104.8,104.2
,Alec Burks,Nyk,G,30.48,40,27.6,57.4,18.7,8,126,0.817,183,0.377,189,0.407,0.496,0.552,11.8,4.2,8.3,2.4,13.4,1.3,0.28,0.93,7.1,115,103.4
,Jared Butler,Uta,G,21.38,20,5.7,11.8,27.3,22.2,9,0.667,22,0.364,30,0.333,0.442,0.465,2.6,0.8,7.2,0.7,17.5,0.2,0.3,0.8,8,83.4,94.4
,Jimmy Butler,Mia,F,32.33,23,33.8,70.3,27.7,9.2,186,0.871,316,0.535,44,0.25,0.515,0.603,23.2,5.9,9.7,5.3,27.1,1.96,0.39,1.96,10.6,126.3,105.8
,Devontae Cacok,San,F,25.26,6,9,18.8,15.6,5,0,0,19,0.684,0,0,0.684,0.684,4.3,3.3,19.1,0.3,5.6,0.67,0.83,0.17,7.2,135.9,91.6
,Kentavious Caldwell-Pope,Was,G,28.9,37,29.7,61.9,17.4,11.1,48,0.875,162,0.463,201,0.388,0.529,0.555,11.5,3.6,6.5,1.7,8.2,1.19,0.41,1.3,5.6,104.3,108.7
,Facundo Campazzo,Den,G,30.81,37,21.9,45.6,15.1,16.8,52,0.808,76,0.474,129,0.341,0.498,0.54,6.6,2.1,5.4,4,24.9,1.14,0.49,1.24,7,111.5,102.5
,Vlatko Cancar,Den,F,24.76,14,10.9,22.7,15.3,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.3,0.9,12.4,0.14,0.21,0.57,6.7,123.2,105.8
,Clint Capela,Atl,C,27.65,36,29.7,61.8,16.2,5.3,97,0.464,332,0.572,1,0,0.571,0.566,11.8,13.1,23.8,1.4,7.2,0.81,1.5,0.58,8.1,128.5,103.9
,Vernon Carey Jr.,Cha,F-C,20.88,2,6,12.4,26.4,13.4,1,1,6,0.5,0,0,0.5,0.543,3.5,1.5,13.3,0,0,0.5,0,0.5,0,105.1,107.9
,Wendell Carter Jr.,Orl,C-F,22.74,37,29.3,61.1,19.1,12.7,101,0.723,234,0.585,139,0.331,0.552,0.581,13.1,10.3,18.7,2.7,15.3,0.7,0.65,1.65,9.8,114.5,102.3
